factor,mean_ic,mean_ric,std_ric,icir,valid_days
return_5d,-0.028163288802962413,-0.054306629116048825,0.14581295987651804,-0.37244034523432273,446
volume_change_rate,-0.029961969332788517,-0.053967807597105684,0.11523669806998339,-0.4683213637753745,446
return_skewness,-0.04277754933342252,-0.05331544905821903,0.10354166737669004,-0.514917814335118,446
bb_width,-0.012432727002454706,-0.053307843089478044,0.20666670040652035,-0.2579411341286222,446
price_var_30,-0.005390878391071187,-0.053119767510528285,0.21492919792256804,-0.24715007557821717,446
sqrt_atr_14,0.0014023899333394977,-0.05196811608325922,0.21917910808168903,-0.2371034198382196,446
atr_14,0.0014024154464865129,-0.05196807843256111,0.21917909214394846,-0.23710326529881995,446
vmacd,-0.028808419333323246,-0.05166216212986855,0.10460340680569775,-0.4938860378212319,446
amount_ma_10,-0.02406909996209787,-0.05023616492547739,0.10202224849005549,-0.4924040164668014,446
bias_18_sub_rsi_21,0.020405508793000966,0.04784605855001938,0.12447440652751547,0.3843847091525827,446
mfi_15,-0.02388913958164881,-0.0478396956706157,0.11468577612944073,-0.4171371314313745,446
dupontAssetTurn_div_inv_pb,-0.03721502444880226,-0.04771525746453761,0.12502584085271728,-0.3816431638380025,446
macd_hist,-0.018744063119771122,-0.04657852018204113,0.14880078900744861,-0.31302602958449044,446
vmacd_signal,-0.02265571037211012,-0.04570559881588444,0.11080100393965067,-0.41250166686917966,446
kdj_j,-0.02526141796262896,-0.04535566388488914,0.12751467524536822,-0.35568975725824636,446
volume_volatility,-0.020104124867747538,-0.04533913552885983,0.09777030458227168,-0.463731147433502,446
vr_30,-0.01163394499329778,-0.044993653456683574,0.10687698516580843,-0.42098542906015396,446
bias_18_sub_rsi_12,0.011971728369801243,0.044527850017643596,0.12158727195535342,0.3662213100232574,446
price_volatility_60,0.0024671982307027007,-0.0430816507996578,0.21818077492079563,-0.19745851033528217,446
vol_ma_14,-0.018779882304365423,-0.041376639918081784,0.10233030729082473,-0.4043439428017016,446
dynamic_pb,-0.019483145993233555,-0.040770643941529,0.14305807764516545,-0.28499365161787366,446
ad,-0.039139516699408995,-0.039302226986785725,0.12761154017631565,-0.3079833291917286,446
epsTTM,-0.05824305615272316,-0.0384008470736968,0.1583567070063655,-0.24249586771309403,446
intraday_drawdown_avg_5d,0.013074196004617091,-0.03823816603077967,0.17156232334285276,-0.2228820715744443,446
obv,-0.011730151869248702,-0.0375962507084723,0.0983370340794503,-0.3823203644528961,446
roeAvg,-0.05589864005229811,-0.03750097801928519,0.16316859758415014,-0.22982962760309925,446
dupontROE,-0.05589864005229811,-0.03750097801928519,0.16316859758415014,-0.22982962760309925,446
psy_30,-0.014213253322452208,-0.03633591324223927,0.11211835410668397,-0.3240853251169256,446
cmo_21_sub_stochrsi_d,-0.02288246328041341,-0.03556943031959569,0.12344967317782085,-0.288128995435738,446
inv_pb,0.004526851039918971,0.03366785049051197,0.13863026791696195,0.24286074748610204,446
price_volume_corr,-0.011115665059939758,-0.0336336750729991,0.09988493501168041,-0.3367242023941451,446
adosc,-0.032751201416592435,-0.03235052015412769,0.12108319364103841,-0.2671759736535659,446
roc_30_sub_stochrsi_d,-0.021941782304760276,-0.031141671352075656,0.1275009305383952,-0.24424662016641327,446
rank_YOYEquity,0.029306815463599357,0.030774133751300437,0.08189818792856492,0.3757608627207106,446
rank_assetToEquity,0.030958754265390114,0.030351394549122612,0.07427823169376528,0.40861762399319784,446
totalShare,-0.01676899855808366,-0.030289168226957503,0.14586847526484242,-0.20764711615696083,446
rank_dupontROE,0.02400459106256471,0.02920218443414622,0.12586338809671893,0.2320149240834514,446
dupontAssetTurn_div_dynamic_pe,-0.05321347788587521,-0.02897109819638999,0.1479281211474433,-0.195845779502018,446
MBRevenue,-0.03532008576419046,-0.02844339152735526,0.1130135100331524,-0.2516813389745299,309
sqrt_natr_28,0.01797681269122943,-0.027836020775756712,0.22274987340842228,-0.12496537192062987,446
natr_28,0.017976945472073392,-0.027835888616875925,0.22274992932879892,-0.12496474724258004,446
bias_18_x_YOYEquity,-0.02231425094001133,-0.027528196171873277,0.11222167914951799,-0.24530194504750036,446
acceleration_10d_div_inv_pb,-0.01818455359340481,-0.02599160908054492,0.133549891580967,-0.19462096728687378,446
dupontAssetTurn,-0.025278964233970195,-0.025961085040301812,0.08454635833612986,-0.30706331474489607,446
log_dupontAssetTurn,-0.025278964233970195,-0.025961085040301812,0.08454635833612986,-0.30706331474489607,446
downside_risk,-0.0195083360994323,-0.02594637912413755,0.0,0.0,1
acceleration_10d,-0.012314176054609475,-0.025884361184738084,0.13482169486255385,-0.191989584548142,446
liqaShare,-0.01178853761030928,-0.025815566390794714,0.1388677031533534,-0.18590043476333912,446
rsi_12_sub_rsi_21,-0.0061765561989261565,-0.025180580970423215,0.139999201263432,-0.17986231880738895,446
rank_acceleration_10d,-0.013238212232402697,-0.02445105902581024,0.1267340800718788,-0.19293199597095365,446
log_assetToEquity,-0.02727027079589921,-0.023888503573089172,0.10195283139802207,-0.23430936880829598,446
assetToEquity,-0.02727027079589921,-0.023888503573089172,0.10195283139802207,-0.23430936880829598,446
consecutive_up_days,-0.010951278031766952,-0.02343966085671525,0.12424878466305761,-0.18865102721350374,446
dupontAssetStoEquity,-0.02735439754817332,-0.02341331792383332,0.09624818895008763,-0.24325982835869248,446
log_dupontAssetStoEquity,-0.02736906532971135,-0.02340836174467599,0.09625099233555538,-0.24320125098625997,446
return_kurtosis,0.00857787154471075,0.022908728313099317,0.12269875034641127,0.18670710376773905,446
cci_20_x_YOYEquity,-0.019463660365646306,-0.022831996388606925,0.10838052064171382,-0.21066512924481448,446
inv_pe,-0.04705851508357131,-0.021073766410437185,0.16617343666470366,-0.1268179008234557,446
acceleration_10d_div_dynamic_pe,-0.019751262428740844,-0.020677715451050835,0.10848430829482104,-0.1906055887350666,446
acceleration_10d_div_peg,-0.016900805770087877,-0.020248686846734296,0.10627092458610742,-0.19053835209956727,446
roe_to_pb,-0.04568897985364361,-0.02007944580885957,0.1775906419736334,-0.11306590023949988,446
acceleration_10d_div_npMargin,-0.025709621125433277,-0.019528185743668002,0.10191338207895348,-0.19161552040868676,446
price_skewness,-0.009665297916891599,-0.018070280042584513,0.08998826688947781,-0.20080706815676483,446
rvi_14,-0.0039397068948920574,-0.017704113194858945,0.10218896602693202,-0.1732487751191553,446
liabilityToAsset,-0.012901727047231215,-0.017151926705565316,0.10018779941559981,-0.17119775866535963,446
currentRatio,0.013250972015152396,0.01682859011538283,0.09854496579851255,0.17077067284990466,446
kdj_d_x_YOYEquity,-0.019355887545011847,-0.016675815393291524,0.13886651788203327,-0.12008521310700383,446
cashRatio_div_inv_pb,-0.008356179655248774,-0.016675049500480238,0.10010879665269264,-0.1665692732111342,446
adx_20_x_YOYEquity,-0.01603215009106927,-0.0159964590114666,0.13468819104724034,-0.11876660371699568,446
stochrsi_d,-0.004641606530111103,-0.01576129708027062,0.13286874953858435,-0.11862305572232112,446
rank_YOYPNI,0.012714463868986647,0.015658510818553427,0.10040683545560203,0.1559506456657258,446
rank_YOYNI,0.014868522202911337,0.015552409075002802,0.09553913153054389,0.1627857488952649,446
rank_dupontAssetStoEquity,0.02070329632988093,0.01544676580037654,0.0703730760646152,0.21949823233808366,446
dupontTaxBurden,0.029185481446512805,0.015341105110345603,0.09417664667015807,0.16289712633404654,446
bias_18_x_YOYAsset,-0.009738093037290165,-0.0153052628358092,0.09833062158129452,-0.15565103311337886,446
dupontNitogr,-0.031054382344024564,-0.015251266776302792,0.15117598091714904,-0.10088419260637141,446
npMargin,-0.030933747421641112,-0.015229252225972639,0.15117658371836054,-0.10073816891076519,446
acceleration_10d_div_roe_to_pb,-0.0193804294935551,-0.015136072275891187,0.10443598704123301,-0.14493157679368915,446
rsi_12_sub_stochrsi_d,-0.010691921613073424,-0.015049837488547413,0.1265488987131426,-0.11892507672201835,446
quickRatio,0.014471797770778788,0.01492778373261902,0.1002303009017188,0.14893483904888716,446
rank_YOYAsset,0.01615676465291841,0.014866281259503194,0.06513600919931418,0.22823445037924922,446
cmo_21_x_YOYEquity,-0.009635726094404055,-0.01459717952589565,0.10841471085256554,-0.134642055594711,446
acceleration_5d,-0.004554835634293026,-0.014487662247681594,0.1419427230951779,-0.10206696005097124,446
dupontEbittogr,-0.02789681585733715,-0.013621334820251936,0.1481544479689279,-0.09194010039515457,446
stochrsi_k,-0.0039038533005016705,-0.013513896103874799,0.13590966788556638,-0.09943292713549465,446
atr_14_x_YOYEquity,-0.009669228252688922,-0.013492807247321112,0.1410542857565798,-0.09565684002403103,446
YOYAsset_div_roe_to_pb,-0.013501024858422106,-0.013137434427611835,0.10631119106352821,-0.12357527270822616,446
cci_20_x_YOYAsset,-0.008227443064797666,-0.012956205583063431,0.09438851201252821,-0.13726464488966358,446
sue,0.00856375331670268,0.0128695867531844,0.09497172399719393,0.1355096676308061,446
bias_18_x_YOYLiability,-0.014456207698637437,-0.011138982851588037,0.07518011829133511,-0.14816394420161294,446
dupontAssetTurn_div_npMargin,-0.0226507538730229,-0.011024102000535867,0.07365222016590182,-0.14967779621176452,446
rank_YOYLiability,0.007176488240246688,0.01030620389617142,0.06233913858058543,0.16532477237953253,446
cashRatio_div_dynamic_pe,-0.020577443468293096,-0.010292047715615007,0.1372184024996983,-0.07500486471293553,446
rsi_21_sub_stochrsi_d,-0.008906122363172538,-0.010090927106738505,0.13009101723566185,-0.07756820817580845,446
rank_acceleration_5d,-0.0015187323755148393,-0.009932276432824967,0.13488733183710375,-0.07363387130245595,446
rank_YOYEPSBasic,0.007227155430862295,0.00991736609484798,0.09289435316485559,0.10675962270008017,446
cci_20_x_YOYLiability,-0.011878243917979087,-0.009878801984317032,0.06989894415721389,-0.14132977405349684,446
dupontAssetTurn_div_roe_to_pb,-0.005545798139530616,-0.00965729172957692,0.08856953883385937,-0.10903626525246195,446
rank_currentRatio,-0.017276683036135675,-0.008932005087186664,0.08271965564841624,-0.1079792344053076,446
YOYAsset_div_peg,-0.008793805878145183,-0.0088898264070801,0.12745676538803946,-0.06974777980607942,446
dupontIntburden,0.001406083544190415,-0.008542776491421647,0.07793938408324051,-0.10960795484729292,446
rank_dupontAssetTurn,-0.0013809307139689266,0.008455176307292825,0.08212409972615252,0.1029560912751201,446
dupontPnitoni,0.0006752854937886642,0.008372498039317555,0.06368658535987294,0.13146407507966068,446
YOYAsset_div_dynamic_pe,-0.0064590245946176085,-0.00831483883845487,0.08471755946537163,-0.0981477617028565,446
amount_std_30,0.007907572585979024,-0.008304222443286194,0.10834925887776309,-0.07664309409494724,446
YOYEquity,-0.012522511399850472,-0.008057991153770795,0.14146748409421883,-0.05696002304249709,446
kdj_d_x_YOYAsset,-0.012691512471631892,-0.007498151465054106,0.1245866915184273,-0.06018420887230217,446
